Country,Region,Year,Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Total Dissolved Solids (mg/L),Contaminant Level,Disease Indicator / Risk
Nigeria,Abuja (FCT),2021,Jabi Lake (Dry Season),,7.47,4.97,7.61,,,,,,,,,,,,,,,,,137.91,High (Color: 50.27 PtCo; Fe: 0.49 mg/L; Mn: 1.14 mg/L),High Risk (Seasonal runoff & municipal/organic pollution)
Nigeria,Abuja (FCT),2021,Jabi Lake (Wet Season),,7.42,6.16,13.72,,,,,,,,,,,,,,,,,100.4,High (Color: 77.99 PtCo; Fe: 0.36 mg/L; Mn: 0.53 mg/L),Moderate Health Risk (Exceeds WHO for Turbidity & Heavy Metals)
Nigeria,Benue South,2023,Amoke Borehole (Apa LGA),,6.57,44.86,3.56,,,,,,,,,,,,,,,,,142.25,High (Coliforms up to 862 MPN/100mL; TSS: 83.61 mg/L),High Particulate & Severe Microbial Hazard (Turbidity: 44.86 NTU; TSS: 83.61 mg/L; Coliforms spike to 862 MPN)
Nigeria,Benue South,2023,Awulema Borehole (Ohimini LGA),,6.66,9.47,4.84,,,,,,,,,,,,,,,,,271,High (EC: 603.88 µS/cm; Coliforms up to 621 MPN/100mL),Pathogen Alert (Coliforms up to 621 MPN & EC: 603.88 µS/cm exceed WHO limits)
Nigeria,Benue South,2023,Ijami Well (Ohimini LGA),,6.58,9.84,4.45,,,,,,,,,,,,,,,,,31.5,Moderate-High (Coliforms up to 168 MPN/100mL),Microbial Contamination Warning (Coliforms up to 168 MPN)
Nigeria,Benue South,2023,Ochekwu River (Apa LGA),,6.77,52.04,4.03,,,,,,,,,,,,,,,,,12.65,Very High (Turbidity: 52.04 NTU; Coliforms up to 237 MPN/100mL),High Turbidity & Microbial Hazard (Turbidity: 52.04 NTU far exceeds safe clarity limits; Coliforms up to 237 MPN)
Nigeria,Benue South,2023,Ogoli River (Otukpo LGA),,6.98,31.21,4.15,,,,,,,,,,,,,,,,,25,Extreme (Total Coliform > 1600 MPN/100mL; EC: 140.81 µS/cm),Severe Pathogen Alert (Cholera / Typhoid / Dysentery risk; Extremely high coliforms >1600 MPN)
Nigeria,Benue South,2023,Okpokwu River (Ohimini LGA),,7.02,15.18,3.93,,,,,,,,,,,,,,,,,40.85,Very High (Coliforms up to 408 MPN/100mL),Pathogen Alert (High Coliforms up to 408 MPN; Unsafe Surface Water)
Nigeria,Benue South,2023,Upu Borehole (Otukpo LGA),,7.29,9.68,4.53,,,,,,,,,,,,,,,,,694.75,High (EC: 1060.50 µS/cm; Coliforms up to 248 MPN/100mL),Microbial & High Mineral Risk (EC: 1060.5 µS/cm exceeds WHO 600 limit; Coliforms up to 248 MPN)
Nigeria,Central,2024,Lake,3.11,7.41,0.24,6.89,10.67,14.01,509,Chlorination,49.4,92,28,6,5.62,21050,43.39,73.11,36.75,1202,7.66,988,,,
Nigeria,Central,2024,River,4.23,8.35,2.78,9.85,32.12,7.65,3028,,94.27,44,25,23,58.78,37675,68.02,47.79,59.11,2462,15.33,817,,,
Nigeria,Central,2022,Lake,3.21,8.27,2.59,3.52,7.4,9.5,1767,,35.72,229,38,27,72.38,14832,67.48,12.73,60.8,1223,29.86,912,,,
Nigeria,Central,2022,Pond,8.12,6.76,4.84,7.67,45.28,16.49,564,Filtration,41.24,316,4,52,24.55,85550,36.5,64.54,38.36,2201,9.75,362,,,
Nigeria,Central,2022,Well,5.02,6.26,1.25,4.85,0.61,9.25,2359,,46.71,372,12,80,92.3,28691,12.53,59.33,32.13,2672,33.08,637,,,
Nigeria,Central,2021,Lake,1.78,7.87,3.54,6.62,5.48,8.61,4980,Boiling,48.63,28,25,86,60.05,95519,84.37,54.4,77.66,411,38.76,540,,,
Nigeria,Central,2021,Spring,1.38,6.45,2.33,5.86,45.49,5.53,2898,Chlorination,57.19,379,21,60,88.98,86300,34.01,73.09,55.24,463,31.37,391,,,
